Date,Core,Deep,REM,Awake,InBed,BedTime_Offset,TotalSleep
2024/3/14,203.7666667,85.93333333,67.86666667,10.98333333,381.9666667,2.233333333,357.5666667
2024/3/15,251.7666667,98.95,77.83333333,0,450.9833333,1.633333333,428.55
2024/3/16,208.7166667,91.95,85.8,41.98333333,444.9666667,3.533333333,386.4666667
2024/4/12,299.8333333,81.95,32.91666667,9.983333333,432.9666667,-0.133333333,414.7
2025/8/22,378.4333333,498.7333333,74.83333333,0,0,-2.05,952
2025/8/23,341.7,81.95,139.75,19.98333333,710.9666667,-2.183333333,563.4
2025/8/25,281.75,87.95,69.83333333,3.983333333,450.9833333,-0.166666667,439.5333333
2025/8/26,207.7833333,92.95,99.85,0,468.9833333,0.233333333,400.5833333
2025/8/27,166.8,98.96666667,87.88333333,46.96666667,468.9833333,-0.066666667,353.65
2025/8/28,197.8333333,90.96666667,104.9,17.98333333,421.9833333,0.433333333,393.7
2025/8/29,217.8333333,73.95,52.9,0,380.9833333,1.4,344.6833333
2025/8/30,223.7166667,47.95,93.8,2.983333333,394.9833333,-0.116666667,365.4666667
2025/8/31,318.8333333,86.93333333,41.91666667,0,463.9833333,0.266666667,447.6833333
2025/9/22,107.9166667,28.98333333,18.95,0,168.9833333,3.733333333,155.85
2025/10/8,114.9,44.96666667,51.95,0,220.9833333,4.35,211.8166667
2025/10/9,241.7333333,211.8333333,30.91666667,179.9666667,286.95,2.25,484.4833333
2025/10/10,270.75,80.95,125.8166667,0,649.9833333,-3,477.5166667
2025/10/11,258.7333333,185.8833333,80.86666667,0,392.9833333,1.816666667,525.4833333
2025/10/12,336.85,60.98333333,52.9,0,521.9833333,-1.45,450.7333333
2025/10/13,218.8,120.9333333,121.8666667,0,487.9833333,-0.483333333,461.6
2025/10/14,245.8166667,105.95,49.88333333,0,411.9833333,-0.016666667,401.65
2025/10/15,339.85,88.96666667,25.91666667,0.983333333,464.9833333,-0.066666667,454.7333333
2025/10/16,253.8,117.9666667,98.85,1.983333333,472.9666667,0.15,470.6166667
2025/10/17,322.8333333,94.96666667,52.88333333,0,484.9833333,0.033333333,470.6833333
2025/10/18,266.8166667,108.9666667,62.86666667,0,445.9833333,0.75,438.65
2025/10/19,285.8666667,89.96666667,44.91666667,0,444.9833333,1.316666667,420.75
2025/10/20,309.8333333,88.96666667,53.88333333,0,470.9833333,1.05,452.6833333
2025/10/21,272.8,102.95,74.86666667,0,462.9833333,1.183333333,450.6166667
2025/10/22,173.7833333,84.96666667,87.83333333,0,396.9833333,2.9,346.5833333
2025/10/23,261.8166667,80.95,49.88333333,0,439.9833333,2.666666667,392.65
2025/10/24,315.85,119.95,44.91666667,0,491.9833333,0.733333333,480.7166667
2025/10/25,210.8,85.95,56.86666667,0,385.9833333,2.516666667,353.6166667
2025/10/26,263.8166667,79.95,55.88333333,0,412.9833333,3.466666667,399.65
2025/10/27,251.8333333,78.95,49.9,0,403.9833333,2.483333333,380.6833333
2025/10/28,278.8166667,101.9666667,95.86666667,0,492.9833333,1.3,476.65
2025/10/29,282.8166667,88.96666667,73.86666667,0,497.9833333,1.616666667,445.65
2025/10/30,159.8333333,104.9666667,71.88333333,0,337.9833333,2.75,336.6833333
2025/10/31,304.7666667,111.95,72.83333333,0,499.9833333,1.766666667,489.55
2025/11/2,227.8166667,95.95,101.8833333,0,455.9833333,2.716666667,425.65
2025/11/3,220.75,98.91666667,102.8666667,25.98333333,541.9666667,2.7,422.5333333
2025/11/4,260.7666667,80.93333333,59.85,0,411.9833333,3.066666667,401.55
2025/11/6,272.8333333,85.95,64.9,0,434.9833333,2.95,423.6833333
2025/11/7,222.8333333,68.98333333,78.86666667,0,394.9833333,2.766666667,370.6833333
2025/11/8,241.55,62.86666667,137.7333333,61.96666667,511.9666667,1.583333333,442.15
2025/11/9,272.8,81.91666667,55.9,0,422.9833333,2.75,410.6166667
2025/11/10,315.85,101.95,46.91666667,0,512.9833333,1.866666667,464.7166667
2025/11/11,249.8333333,108.9666667,53.88333333,0,430.9833333,2.85,412.6833333
2025/11/12,305.85,91.93333333,29.93333333,0,437.9833333,1.016666667,427.7166667
2025/11/14,131.8666667,60.96666667,41.91666667,0,252.9833333,3.5,234.75
2025/11/15,229.85,93.96666667,80.9,0,438.9833333,2.183333333,404.7166667
2025/11/16,271.7833333,97.95,67.85,0,446.9833333,3.416666667,437.5833333
2025/11/17,269.8333333,85.95,91.9,0,498.9833333,1.166666667,447.6833333
2025/11/18,248.8833333,83.96666667,25.93333333,0,381.9833333,2.016666667,358.7833333
2025/11/19,250.8333333,69.96666667,48.88333333,0,377.9833333,2.216666667,369.6833333
2025/11/20,231.85,93.96666667,65.9,0,425.9833333,2.566666667,391.7166667
2025/11/21,220.8333333,83.95,94.9,0,441.9833333,1.766666667,399.6833333
2025/11/22,241.7833333,127.95,61.85,0,461.9833333,1.8,431.5833333
2025/11/23,176.85,114.9666667,37.9,0,379.9833333,2.933333333,329.7166667
2025/11/24,325.75,66.93333333,77.83333333,0,480.9833333,2.416666667,470.5166667
2025/11/25,260.8333333,71.95,45.9,0,421.9833333,3.4,378.6833333
2025/11/26,271.85,70.96666667,43.9,0,413.9833333,3.033333333,386.7166667
2025/11/27,270.7166667,91.9,60.83333333,0,431.9833333,3,423.45
2025/11/28,253.8333333,81.96666667,49.88333333,0,415.9833333,3.066666667,385.6833333
2025/11/29,265.8333333,100.9666667,54.88333333,0,426.9833333,2.9,421.6833333
2025/11/30,336.8166667,103.9666667,56.86666667,0,538.9833333,1.916666667,497.65
2025/12/1,231.8,74.96666667,75.85,0,408.9833333,3.066666667,382.6166667
2025/12/2,181.8833333,69.98333333,67.91666667,0,342.9833333,3.083333333,319.7833333
2025/12/3,240.8166667,66.95,39.88333333,0,357.9833333,2.266666667,347.65
2025/12/4,224.7833333,72.91666667,47.88333333,0,365.9833333,2.416666667,345.5833333
2025/12/5,217.85,102.9666667,69.91666667,7.983333333,399.9833333,2.033333333,390.7333333
2025/12/6,212.85,32.96666667,45.9,0,305.9833333,5.166666667,291.7166667
2025/12/7,300.8,81.96666667,52.85,0,468.9833333,2.65,435.6166667
2025/12/8,269.8666667,89.95,88.93333333,0,462.9833333,2.766666667,448.75
2025/12/9,260.75,116.9333333,53.83333333,0,463.9833333,2.616666667,431.5166667
2025/12/10,223.8166667,89.95,57.88333333,0,380.9833333,3.283333333,371.65
2025/12/11,241.7833333,73.96666667,71.83333333,0,399.9833333,2.5,387.5833333
2025/12/12,230.85,64.93333333,65.93333333,0,395.9833333,2.766666667,361.7166667
2025/12/13,232.7666667,85.96666667,85.81666667,0,429.9833333,2.916666667,404.55
2025/12/14,316.75,107.9166667,66.85,0,501.9833333,1.9,491.5166667
2025/12/15,286.85,83.93333333,31.93333333,0,411.9833333,3.3,402.7166667
2025/12/16,268.8,129.95,129.8833333,0.983333333,584.9833333,1.45,528.6333333
2025/12/17,139.9,53.98333333,39.93333333,0,242.9833333,3.7,233.8166667
2025/12/18,220.8833333,96.96666667,72.93333333,0,399.9833333,2.983333333,390.7833333
2025/12/19,277.75,107.9333333,64.91666667,89.93333333,465.9666667,0.333333333,450.6
2025/12/20,267.8666667,126.9833333,41.93333333,9.95,480.9666667,-1,436.7833333
2025/12/21,170.8833333,41.98333333,26.91666667,0,293.9833333,3.933333333,239.7833333
2025/12/22,104.85,60.96666667,48.9,0,245.9833333,5.933333333,214.7166667
2025/12/23,280.65,105.9,93.76666667,23.96666667,518.9833333,4.1,480.3166667
2025/12/24,260.8333333,79.96666667,55.88333333,0,431.9833333,3.583333333,396.6833333
2025/12/25,209.8166667,83.95,96.88333333,0,398.9833333,2.8,390.65
2025/12/26,371.85,105.9333333,29.93333333,0,516.9833333,1.966666667,507.7166667
